🌍 100 European Tech Companies — Visa Sponsorship ,,,,,,,,,,,
 Countries: Germany · Netherlands · Sweden · Ireland · UK · Denmark · Finland · Spain · Poland · France · Switzerland · Belgium · Norway · Portugal ,,,,,,,,,,,
,,,,,,,,,,,
,,Get Startup Bundle for more startup lists for various locations and sectors,,,,,Follow me on X for more resources!,,,,
,,,,,,,,,,,
Company,Country / City,Industry,Visa Type,Freshers?,Min Exp,Tech Stack / Roles,Avg Salary (€),Careers Page ↗,LinkedIn ↗,Relocation?,Tips & Notes
SAP SE,Germany / Walldorf,Enterprise Software,EU Blue Card,Yes,0 yrs (grad),"Java, Python, ABAP, AI/ML, SAP BTP, Cloud",€55k–€90k,https://jobs.sap.com,https://www.linkedin.com/company/sap,Yes,Largest EU software co. Sponsors Blue Card fast. New-grad program each year. English teams exist.
Siemens AG,Germany / Munich,Engineering & IoT,EU Blue Card,Limited,2 yrs,"C++, Python, Embedded, IoT, Cloud, Automation",€55k–€85k,https://jobs.siemens.com,https://www.linkedin.com/company/siemens,Yes,Strong R&D culture. Electrical/embedded/IoT profiles preferred. German helps for senior roles.
Bosch,Germany / Stuttgart,Engineering & Tech,EU Blue Card,Yes,0 yrs,"C++, AI, Embedded, Automotive IoT, Python",€50k–€80k,https://www.bosch.com/careers/,https://www.linkedin.com/company/bosch,Yes,Graduate program available. German helpful for non-tech roles. R&D excellence.
BMW Group,Germany / Munich,Automotive Tech,EU Blue Card,Limited,2 yrs,"Python, AI/ML, Embedded, Data, C++, Software-Defined Vehicle",€60k–€95k,https://www.bmwgroup.com/en/careers.html,https://www.linkedin.com/company/bmw-group,Yes,Strong AI & digital division. Software-defined vehicle = new frontier hiring.
Celonis,Germany / Munich,Process Mining / SaaS,EU Blue Card,Yes,0 yrs,"Python, SQL, React, Node.js, Data Eng.",€60k–€100k,https://www.celonis.com/careers/,https://www.linkedin.com/company/celonis,Yes,Fast-growing unicorn. Engineering-driven. Blue Card fast-tracked for tech roles.
Delivery Hero,Germany / Berlin,Food Tech,EU Blue Card,Yes,0 yrs,"Go, Java, React, Kubernetes, AWS",€55k–€90k,https://careers.deliveryhero.com,https://www.linkedin.com/company/delivery-hero,Yes,English-first Berlin office. Very popular with Indian engineers. Fast hiring cycle.
Zalando,Germany / Berlin,E-Commerce / Fashion,EU Blue Card,Yes,0 yrs,"Python, Scala, Java, Kafka, AWS",€60k–€95k,https://jobs.zalando.com,https://www.linkedin.com/company/zalando,Yes,50+ nationalities. One of best visa sponsors in Berlin. Full relocation support.
HelloFresh,Germany / Berlin,Food-tech,EU Blue Card,Yes,0 yrs,"Python, Scala, Java, Data Eng., AWS",€50k–€80k,https://www.hellofresh.com/careers/,https://www.linkedin.com/company/hellofresh,Yes,English-only environment. Data & backend engineers in demand.
Personio,Germany / Munich,HR SaaS,EU Blue Card,Yes,0 yrs,"Python, Java, React, TypeScript, PostgreSQL",€60k–€95k,https://www.personio.com/about-personio/careers/,https://www.linkedin.com/company/personio,Yes,Fastest-growing HR-tech in EU. Strong engineering team. Visa fast-tracked.
N26,Germany / Berlin,Fintech / Banking,EU Blue Card,Limited,2 yrs,"Java, Kotlin, Python, React, AWS",€60k–€95k,https://n26.com/en-eu/careers,https://www.linkedin.com/company/n26,Yes,Digital bank. Engineering-driven culture. Active visa sponsor for senior eng.
AUTO1 Group,Germany / Berlin,Automotive Marketplace,EU Blue Card,Yes,1 yr,"Python, Java, React, AWS, Kubernetes",€55k–€85k,https://www.auto1-group.com/jobs/,https://www.linkedin.com/company/auto1-group,Yes,In-house relocation team handles visa + permit. One of Berlin's best sponsors.
Contentful,Germany / Berlin,Headless CMS / SaaS,EU Blue Card,Yes,1 yr,"Node.js, Go, TypeScript, React, AWS",€60k–€95k,https://www.contentful.com/careers/,https://www.linkedin.com/company/contentful,Yes,"Known Blue Card sponsor. Backend, platform, full-stack roles. English-first teams."
GetYourGuide,Germany / Berlin,Travel-tech,EU Blue Card,Yes,1 yr,"Python, Go, Java, React, GCP, Kubernetes",€60k–€95k,https://www.getyourguide.careers/,https://www.linkedin.com/company/getyourguide,Yes,Migrant-founded. Very international team. Excellent Blue Card track record.
Trade Republic,Germany / Berlin,Fintech / Investing,EU Blue Card,Limited,2 yrs,"Python, Kotlin, Swift, Backend, Infrastructure",€65k–€100k,https://traderepublic.com/careers,https://www.linkedin.com/company/trade-republic,Yes,Europe's fastest-growing retail broker. Known Blue Card sponsor. High comp.
Omio,Germany / Berlin,Travel-tech,EU Blue Card,Yes,0 yrs,"Python, Go, React, AWS, Microservices",€55k–€85k,https://www.omio.com/careers,https://www.linkedin.com/company/omio,Yes,Migrant-founded. English-first. Actively sponsors Blue Cards for eng. roles.
SumUp,Germany / Berlin,Fintech / Payments,EU Blue Card,Yes,1 yr,"Python, Go, React, Node.js, Kubernetes",€55k–€85k,https://www.sumup.com/careers/,https://www.linkedin.com/company/sumup,Yes,"Global fintech, Berlin HQ. 3000+ employees. Hires internationally regularly."
FlixBus / FlixMobility,Germany / Munich,Transport-tech,EU Blue Card,Yes,1 yr,"Python, Java, React, Data Eng., AWS",€50k–€80k,https://www.flixbus.com/company/jobs,https://www.linkedin.com/company/flixmobility,Yes,Green transport unicorn. International eng. teams. Active Blue Card sponsor.
Taxfix,Germany / Berlin,Fintech / Tax SaaS,EU Blue Card,Yes,1 yr,"TypeScript, React Native, Node.js, Python, AWS",€55k–€90k,https://taxfix.de/en/careers/,https://www.linkedin.com/company/taxfix,Yes,Fast-growing startup. Small team = more impact. Blue Card sponsor.
Babbel,Germany / Berlin,EdTech / Language,EU Blue Card,Yes,1 yr,"Python, React, Node.js, AWS, ML",€50k–€78k,https://jobs.babbel.com,https://www.linkedin.com/company/babbel,Yes,Language learning platform. 1000+ employees. Good work-life balance.
ResearchGate,Germany / Berlin,Tech / Research Network,EU Blue Card,Yes,1 yr,"Python, Go, PHP, React, ML",€50k–€80k,https://www.researchgate.net/careers,https://www.linkedin.com/company/researchgate,Yes,Migrant-founded. Small eng. team. Good culture. Blue Card sponsor.
Booking.com,Netherlands / Amsterdam,Travel Tech,Dutch HSM Visa,Yes,0 yrs,"Python, Java, Perl, React, Kubernetes, AWS",€60k–€100k,https://jobs.booking.com,https://www.linkedin.com/company/booking.com,Yes (premium),One of best EU visa sponsors. Relocated 300+ engineers to Amsterdam in one year alone.
Adyen,Netherlands / Amsterdam,Fintech / Payments,Dutch HSM Visa,Limited,3 yrs,"Java, Python, C++, Distributed Systems",€70k–€110k,https://careers.adyen.com,https://www.linkedin.com/company/adyen,Yes,Very high bar. Premium fintech. 50+ nationalities. Excellent comp. Worth the effort.
ASML,Netherlands / Eindhoven,Semiconductor Tech,Dutch HSM Visa,Yes,0 yrs (grad),"C++, Python, Optics, Embedded, SW Eng.",€65k–€100k,https://www.asml.com/en/careers,https://www.linkedin.com/company/asml,Yes + housing,Most important tech co. in world (chip machines). Graduate programs. Fast HSM visa.
Philips,Netherlands / Amsterdam,Health Tech,Dutch HSM Visa,Yes,0 yrs,"Python, Java, AI/ML, Cloud, IoT",€55k–€85k,https://www.careers.philips.com,https://www.linkedin.com/company/philips,Yes,Strong digital health & AI. Good WLB. Graduate & experienced roles available.
Just Eat Takeaway,Netherlands / Amsterdam,Food Delivery Tech,Dutch HSM Visa,Yes,0 yrs,"Python, Java, React, Kubernetes, GCP",€55k–€90k,https://careers.justeattakeaway.com,https://www.linkedin.com/company/just-eat-takeaway,Yes,English-first. Both Amsterdam & Berlin offices hiring internationally.
Miro,Netherlands / Amsterdam,Collaboration SaaS,Dutch HSM Visa,Yes,1 yr,"React, TypeScript, Python, Node.js, AWS",€65k–€100k,https://miro.com/careers/,https://www.linkedin.com/company/miro,Yes,$17.5B valuation. Amsterdam co-HQ. International workforce. Known HSM sponsor.
TomTom,Netherlands / Amsterdam,Location Tech / Maps,Dutch HSM Visa,Yes,1 yr,"C++, Python, ML, Embedded, Maps API",€55k–€85k,https://careers.tomtom.com,https://www.linkedin.com/company/tomtom,Yes,Location & mapping tech. International engineering teams. Good visa support.
Wolters Kluwer (Tech),Netherlands / Alphen,Legal / Compliance SaaS,Dutch HSM Visa,Limited,2 yrs,"Java, Python, .NET, Cloud, AI",€55k–€85k,https://www.wolterskluwer.com/en/careers,https://www.linkedin.com/company/wolters-kluwer,Yes,Global info services. Large tech division. Multiple EU offices. Stable employer.
bol.com,Netherlands / Utrecht,E-Commerce,Dutch HSM Visa,Yes,1 yr,"Java, Python, React, AWS, Data Eng.",€55k–€85k,https://careers.bol.com,https://www.linkedin.com/company/bol.com,Yes,Largest Dutch e-commerce. Engineering-first. Sponsors HSM for tech roles.
ING (Tech),Netherlands / Amsterdam,Banking / Fintech,Dutch HSM Visa,Yes,0 yrs,"Java, Python, React, Kafka, Cloud",€55k–€90k,https://www.ing.jobs,https://www.linkedin.com/company/ing,Yes,Maintains public list of IND-recognized roles. One of Europe's best bank tech teams.
Elastic,Netherlands / Amsterdam,Search / Observability,Dutch HSM Visa,Limited,2 yrs,"Java, Elasticsearch, Python, Kubernetes, Go",€60k–€95k,https://www.elastic.co/about/careers,https://www.linkedin.com/company/elastic-co,Yes,Open-source company. Remote-friendly. Amsterdam EU HQ. Active sponsor.
Catawiki,Netherlands / Amsterdam,Online Auction,Dutch HSM Visa,Yes,1 yr,"PHP, Python, React, Ruby, AWS",€50k–€80k,https://www.catawiki.com/en/jobs,https://www.linkedin.com/company/catawiki,Yes,Unique niche. International team. Good culture. Sponsors HSM visa.
Spotify,Sweden / Stockholm,Music / Streaming Tech,Swedish Work Permit,Yes,0 yrs,"Python, Java, Scala, Kubernetes, GCP",€55k–€95k,https://www.lifeatspotify.com/jobs,https://www.linkedin.com/company/spotify,Yes,Iconic tech brand. English-only. Invented squad model. Very competitive.
Klarna,Sweden / Stockholm,Fintech / BNPL,Swedish Work Permit,Limited,2 yrs,"Python, Java, Kotlin, React, AWS",€60k–€100k,https://www.klarna.com/careers/,https://www.linkedin.com/company/klarna,Yes,Europe's top fintech. AI-heavy hiring in 2025. High bar but great comp.
King (Candy Crush),Sweden / Stockholm,Gaming,Swedish Work Permit,Yes,0 yrs,"C++, Python, Java, Unity, Data Science",€55k–€85k,https://careers.king.com,https://www.linkedin.com/company/king,Yes,Activision subsidiary. Excellent for game engineers & data scientists.
Ericsson,Sweden / Stockholm,Telecom Tech,Swedish Work Permit,Yes,0 yrs (grad),"C, C++, Python, 5G, Embedded, Cloud",€50k–€80k,https://jobs.ericsson.com,https://www.linkedin.com/company/ericsson,Yes,Biggest telecom R&D co. Strong Indian presence. Graduate programs available.
Volvo Cars (Tech),Sweden / Gothenburg,Automotive / Software,Swedish Work Permit,Yes,1 yrs,"C++, Python, AI, Embedded, AUTOSAR",€55k–€85k,https://www.volvocars.com/en/careers,https://www.linkedin.com/company/volvo-car-corporation,Yes,Software-defined vehicle push = huge hiring. Gothenburg (2hr from Stockholm).
iZettle / PayPal Zettle,Sweden / Stockholm,Fintech / Payments,Swedish Work Permit,Yes,1 yr,"Java, Python, React, Node.js, AWS",€55k–€85k,https://www.paypal.com/us/webapps/mpp/jobs,https://www.linkedin.com/company/zettle,Yes,PayPal subsidiary. Stockholm eng. hub. International hiring regular.
Mojang (Minecraft),Sweden / Stockholm,Gaming,Swedish Work Permit,Limited,2 yrs,"Java, C++, C#, Python, Game Dev",€55k–€90k,https://www.minecraft.net/en-us/about-minecraft/jobs,https://www.linkedin.com/company/mojang,Yes,"Microsoft subsidiary. Dream job for game devs. Small eng. team, high impact."
Tobii,Sweden / Stockholm,Eye-Tracking / AI,Swedish Work Permit,Yes,1 yr,"C++, Python, ML/CV, Embedded, UX Eng.",€50k–€80k,https://www.tobii.com/career,https://www.linkedin.com/company/tobii,Yes,Unique tech (eye tracking). AI/CV roles. International team. Good visa support.
Epidemic Sound,Sweden / Stockholm,Music Tech / SaaS,Swedish Work Permit,Yes,1 yr,"Python, React, Go, ML, AWS",€55k–€85k,https://www.epidemicsound.com/careers/,https://www.linkedin.com/company/epidemic-sound,Yes,Fast-growing music platform. English-first. Good culture. Active sponsor.
Voi Technology,Sweden / Stockholm,Micro-Mobility,Swedish Work Permit,Yes,1 yr,"Python, Go, React, Data Eng., AWS",€50k–€80k,https://www.voiscooters.com/careers/,https://www.linkedin.com/company/voi-technology,Yes,E-scooter startup. International team. Actively hires engineers from abroad.
Google (EMEA HQ),Ireland / Dublin,Big Tech,Irish Critical Skills Permit,Yes,0 yrs,"Python, Go, Java, ML, Cloud, Data",€70k–€130k,https://careers.google.com,https://www.linkedin.com/company/google,Yes (premium),EMEA HQ in Dublin. Fast-track permit. Strong new-grad hiring. Dream employer.
Meta (EMEA HQ),Ireland / Dublin,Big Tech / Social,Irish Critical Skills Permit,Limited,2 yrs,"C++, Python, React, AI/ML, Distributed Systems",€70k–€130k,https://www.metacareers.com,https://www.linkedin.com/company/meta,Yes,Large EMEA eng. hub. AR/VR & AI roles. Strong visa sponsor.
LinkedIn (EMEA HQ),Ireland / Dublin,Professional Network,Irish Critical Skills Permit,Yes,0 yrs,"Python, Java, Scala, ML, Data Eng.",€65k–€110k,https://careers.linkedin.com,https://www.linkedin.com/company/linkedin,Yes,Microsoft subsidiary. Large Dublin eng. office. Excellent benefits.
Stripe (EMEA HQ),Ireland / Dublin,Fintech / Payments,Irish Critical Skills Permit,Limited,2 yrs,"Ruby, Java, Go, Python, Distributed Systems",€75k–€130k,https://stripe.com/jobs,https://www.linkedin.com/company/stripe,Yes,Very high bar. EMEA hub in Dublin. Excellent sponsor. High comp.
Workday,Ireland / Dublin,Enterprise SaaS,Irish Critical Skills Permit,Yes,0 yrs,"Java, Python, React, ML, Cloud",€60k–€100k,https://www.workday.com/en-us/company/careers/overview.html,https://www.linkedin.com/company/workday,Yes,Large Dublin R&D centre. Graduate roles available. Regular Critical Skills sponsor.
Salesforce,Ireland / Dublin,CRM / Cloud SaaS,Irish Critical Skills Permit,Yes,0 yrs,"Java, Python, Apex, JavaScript, Tableau",€60k–€100k,https://careers.salesforce.com,https://www.linkedin.com/company/salesforce,Yes,Salesforce Tower Dublin. Regular grad intake. Ohana culture.
HubSpot,Ireland / Dublin,Marketing SaaS,Irish Critical Skills Permit,Yes,0 yrs,"Python, Java, React, HubL, AWS",€55k–€95k,https://www.hubspot.com/careers,https://www.linkedin.com/company/hubspot,Yes,EMEA HQ Dublin. Strong grad hiring. Great culture (top employer rankings).
