Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
A company runs a web app on EC2 with unpredictable traffic spikes. What is the most cost-effective and scalable solution?,multiple-choice,Use a scheduled scaling policy,Scheduled scaling is for predictable traffic only.,Manually add more instances,This is not scalable and is prone to error.,Use a dynamic scaling policy based on CPU utilization,This automatically scales based on real-time demand.,Over-provision a large number of instances,This is not cost-effective.,,,,3,A dynamic Auto Scaling policy adjusts the number of EC2 instances automatically in response to changes in demand ensuring performance while minimizing cost.,Design High-Performing Architectures
An organization needs to store 7 years of audit logs. The logs are rarely accessed after the first month but must be retrievable within 24 hours. What is the MOST cost-effective S3 storage class?,multiple-choice,S3 Standard,Too expensive for long-term archival.,S3 Glacier Flexible Retrieval,More expensive than Deep Archive with faster retrieval not needed.,S3 Intelligent-Tiering,Best for unpredictable access patterns not long-term archive.,S3 Glacier Deep Archive,Lowest-cost storage class designed for long-term retention.,,,,4,S3 Glacier Deep Archive is the cheapest option for long-term data archival where a retrieval time of 12-48 hours is acceptable.,Design Cost-Optimized Architectures
A critical application on EC2 instances must be highly available and withstand the failure of a single Availability Zone. What is the BEST design?,multiple-choice,Deploy instances in one AZ with multiple instance types,This does not protect against an AZ failure.,Deploy instances across multiple Availability Zones,This ensures high availability as traffic can be routed to healthy AZs.,Deploy a standby set in another AWS Region,This is a DR strategy and is more complex than required.,Use Spot Instances to automatically replace failed ones,Spot Instances can be interrupted and are not for critical stateful apps.,,,,2,Deploying EC2 instances across multiple AZs with an Application Load Balancer allows for automatic failover if one AZ becomes unavailable.,Design Resilient Architectures
A developer requires temporary credentials to access an S3 bucket expiring after 1 hour. Which service should be used?,multiple-choice,IAM Roles,IAM Roles define permissions but do not issue temporary credentials directly.,AWS Security Token Service (STS),STS is designed to grant temporary limited-privilege credentials.,AWS Secrets Manager,This service stores and rotates secrets like passwords but does not grant temporary access.,Amazon Cognito,Cognito is for application user identity not for AWS resource credentials for developers.,,,,2,AWS STS (Security Token Service) AssumeRole API call is used to obtain temporary security credentials with defined permissions and a set expiration time.,Design Secure Architectures
An application requires a shared file system that can be mounted on multiple EC2 instances simultaneously using the NFS protocol. Which storage solution should be used?,multiple-choice,Amazon EBS Multi-Attach,This is block storage not a shared file system and is limited to one AZ.,Amazon S3,S3 is an object store and does not support the NFS protocol for EC2 mounting.,Amazon EFS,EFS is a fully managed scalable NFS-compliant file system.,Amazon EC2 Instance Store,Instance store is ephemeral block storage tied to a single EC2 instance.,,,,3,Amazon EFS is a managed NFS file system that can be mounted on thousands of EC2 instances concurrently providing a shared storage solution.,Design High-Performing Architectures
How can a company ensure that all new objects uploaded to any S3 bucket in their AWS account are encrypted by default?,multiple-choice,Use an SCP to deny unencrypted uploads,This can be complex to manage and less direct.,Manually enable encryption on each new bucket,This is not an automated or enforceable policy.,Enable S3 Default Encryption in the account settings,This is the simplest method to enforce encryption for all new objects account-wide.,Run a daily script to encrypt objects,This is a reactive approach and does not prevent unencrypted objects from being created.,,,,3,Enabling S3 Default Encryption at the account level is a straightforward way to ensure all new objects are encrypted at rest using SSE-S3 or SSE-KMS.,Design Secure Architectures
A web application behind an Application Load Balancer needs protection from common web exploits like SQL injection and XSS. Which AWS service is most suitable?,multiple-choice,AWS Shield,Shield provides DDoS protection not protection from application-layer attacks.,AWS WAF,WAF is a web application firewall that filters traffic based on rules to block attacks like SQL injection.,Amazon GuardDuty,GuardDuty is a threat detection service that analyzes logs not a real-time firewall.,AWS Firewall Manager,This service manages firewall rules across accounts but is not the firewall itself.,,,,2,AWS WAF integrates with Application Load Balancers to inspect web requests and block malicious traffic based on defined security rules.,Design Secure Architectures
A company needs a dedicated private and low-latency network connection between its on-premises data center and AWS. Which service should be used?,multiple-choice,AWS Site-to-Site VPN,A VPN connection uses the public internet and does not offer consistent low latency.,AWS Direct Connect,Direct Connect provides a dedicated private connection for consistent performance.,VPC Peering,This connects VPCs to each other not to an on-premises location.,AWS Transit Gateway,This is a network hub and still requires a VPN or Direct Connect for the on-premises link.,,,,2,AWS Direct Connect establishes a private dedicated physical network connection bypassing the public internet for consistent low-latency performance.,Design High-Performing Architectures
An application in a private subnet needs to access a DynamoDB table without traversing the public internet. What is the most secure method?,multiple-choice,Use a NAT Gateway,A NAT Gateway routes traffic over the public internet.,Create a VPC Gateway Endpoint for DynamoDB,This creates a private connection within the AWS network.,Assign Public IPs to the instances,This exposes instances to the internet and is not secure.,Use an Internet Gateway,This provides a route to the public internet.,,,,2,A VPC Gateway Endpoint for DynamoDB routes traffic between your VPC and DynamoDB over the private AWS network enhancing security.,Design Secure Architectures
A company has a disaster recovery requirement with an RTO of 15 minutes and an RPO of 1 hour. Which strategy is the most appropriate?,multiple-choice,Backup and Restore,This strategy has a high RTO typically hours and cannot meet a 15-minute target.,Pilot Light,Involves a minimal running environment faster than Backup and Restore but may not meet a 15-minute RTO.,Warm Standby,A scaled-down but fully functional version of the application runs in the DR region allowing for a fast scale-up.,Multi-Site Active-Active,Provides near-zero RTO but is the most complex and expensive strategy.,,,,3,The Warm Standby strategy balances cost and recovery time allowing a quick scale-up in the disaster recovery region to meet a 15-minute RTO.,Design Resilient Architectures
An EC2 fleet processes messages from an SQS queue. The number of instances should scale based on the number of messages in the queue. What is the most efficient scaling method?,multiple-choice,Scale based on CPU utilization,CPU usage may not directly correlate with the queue length.,Scale based on the SQS ApproximateNumberOfMessagesVisible metric,This directly ties scaling to the workload ensuring efficient resource use.,Scale manually,This is not automated and is inefficient.,Use a scheduled scaling policy,This is for predictable traffic patterns not variable queue lengths.,,,,2,Using a target tracking scaling policy based on the ApproximateNumberOfMessagesVisible SQS metric allows the Auto Scaling group to adjust the instance count based on the actual workload.,Design High-Performing Architectures
A company wants to run large-scale data processing jobs using frameworks like Apache Spark and Hadoop. Which managed service simplifies this process?,multiple-choice,Amazon RDS,RDS is a relational database service not for big data processing.,Amazon EMR,EMR is a managed service for running big data frameworks like Spark and Hadoop.,Amazon Redshift,Redshift is a data warehouse not a general-purpose processing framework.,AWS Lambda,Lambda is for short-running event-driven functions not for long-running distributed jobs.,,,,2,Amazon EMR (Elastic MapReduce) automates the setup scaling and management of clusters for big data frameworks simplifying large-scale data processing.,Design High-Performing Architectures
A web application needs to store user session data with sub-millisecond latency. Which AWS service is the best fit?,multiple-choice,Amazon RDS,RDS is a disk-based database with higher latency.,Amazon DynamoDB,DynamoDB offers low single-digit millisecond latency but in-memory stores are faster.,Amazon ElastiCache for Redis,ElastiCache for Redis is an in-memory data store providing sub-millisecond latency ideal for session storage.,Amazon S3,S3 is an object store and is not suitable for low-latency session data.,,,,3,Amazon ElastiCache for Redis provides an in-memory key-value store with extremely low latency making it a popular choice for caching and session management.,Design High-Performing Architectures
In a microservices architecture services need to communicate asynchronously. Which managed service acts as a reliable message broker?,multiple-choice,Amazon SNS,SNS is a publish/subscribe service for fan-out messaging not typically a message broker.,Amazon SQS,SQS is a fully managed message queuing service for decoupling microservices.,Amazon Kinesis Data Streams,Kinesis is for real-time data streaming not general-purpose messaging.,AWS Step Functions,Step Functions is a workflow orchestrator not a message broker.,,,,2,Amazon SQS (Simple Queue Service) provides a reliable and scalable message queue for decoupling components of a distributed system.,Design Resilient Architectures
A company wants to provision its AWS infrastructure using code. Which service allows defining and deploying infrastructure from a template?,multiple-choice,AWS Elastic Beanstalk,Beanstalk is a PaaS that abstracts the underlying infrastructure.,AWS CloudFormation,CloudFormation allows you to model your infrastructure as code in templates.,AWS OpsWorks,OpsWorks is a configuration management service using Chef and Puppet.,AWS Config,Config is for auditing and compliance not for provisioning.,,,,2,AWS CloudFormation enables you to define your entire AWS infrastructure in a JSON or YAML template allowing for automated and repeatable deployments.,Design High-Performing Architectures
A website with a global user base serves large static files. How can the company reduce latency and server load?,multiple-choice,AWS Global Accelerator,Global Accelerator is for dynamic content and applications not for caching static files.,Amazon CloudFront,CloudFront is a CDN that caches static content at edge locations close to users.,Elastic Load Balancing,ELB distributes traffic but does not cache content.,S3 Transfer Acceleration,This service speeds up uploads to S3 but does not serve content from edge locations.,,,,2,Amazon CloudFront caches static assets at edge locations worldwide reducing latency for users and offloading requests from the origin server.,Design High-Performing Architectures
A company wants to run BI queries on its production RDS for PostgreSQL database without impacting performance. What is the best approach?,multiple-choice,Run queries during off-peak hours,This can still impact performance and may not be feasible for a 24/7 business.,Create a read replica of the database,A read replica allows you to offload read traffic from the primary instance.,Export data to S3 and query with Athena,This adds complexity and latency to the analytics process.,Migrate the database to Amazon Redshift,This is a complex data warehousing solution whereas a read replica is a simpler solution.,,,,2,Creating a read replica for an RDS database is the standard method for isolating read-heavy workloads like BI queries from the production database.,Design Resilient Architectures
An application generates logs that are frequently accessed for the first 30 days then infrequently for a year. Which S3 storage class is most cost-effective?,multiple-choice,S3 Standard,This is expensive for long-term storage of infrequently accessed data.,S3 Glacier Flexible Retrieval,This is for archival data and has a retrieval time of minutes to hours.,S3 Intelligent-Tiering,This automatically moves data between access tiers based on usage patterns optimizing cost.,S3 Standard-Infrequent Access,This has a retrieval fee and is best for data that is known to be infrequently accessed.,,,,3,S3 Intelligent-Tiering automatically optimizes storage costs by moving data to the most cost-effective tier without performance impact or operational overhead.,Design Cost-Optimized Architectures
A serverless application built with AWS Lambda needs a fast scalable and fully managed NoSQL database. Which AWS service is the best choice?,multiple-choice,Amazon RDS,RDS is a relational database service not NoSQL.,Amazon DynamoDB,DynamoDB is a serverless NoSQL database with single-digit millisecond latency.,Amazon Redshift,Redshift is a data warehouse not a transactional database.,Amazon ElastiCache,ElastiCache is an in-memory cache not a persistent database.,,,,2,Amazon DynamoDB is a fully managed serverless NoSQL database that integrates seamlessly with AWS Lambda providing high performance at any scale.,Design High-Performing Architectures
Which service should be used to record all API calls made within an AWS account for security and auditing purposes?,multiple-choice,Amazon CloudWatch,CloudWatch monitors performance metrics and logs but does not record all API calls.,AWS CloudTrail,CloudTrail logs all API activity across your AWS account.,Amazon S3 Access Logs,These logs are specific to S3 buckets not the entire account.,VPC Flow Logs,Flow Logs capture network traffic information not API calls.,,,,2,AWS CloudTrail is a service that provides event history of your AWS account activity including actions taken through the AWS Management Console AWS SDKs and command line tools.,Design Secure Architectures
A developer wants to run a containerized application without managing the underlying EC2 instances paying only for consumed resources. Which service and launch type should be used?,multiple-choice,Amazon ECS with EC2 launch type,This requires you to manage the EC2 instances in the cluster.,Amazon ECS with Fargate launch type,Fargate is a serverless compute engine for containers where you pay for vCPU and memory.,Amazon EKS with EC2 launch type,This also requires you to manage the worker nodes.,AWS Elastic Beanstalk with Docker,Beanstalk abstracts but still provisions and charges for the underlying EC2 instances.,,,,2,Amazon ECS with the Fargate launch type allows you to run containers without managing servers and you are billed for the resources your application consumes.,Design Cost-Optimized Architectures
A company needs a secure and cost-effective connection from its on-premises data center to its VPC for moderate data transfer. Which service is most appropriate?,multiple-choice,AWS Direct Connect,Direct Connect is a dedicated connection which is more expensive and for high-bandwidth needs.,AWS Site-to-Site VPN,A VPN provides a secure encrypted connection over the internet and is cost-effective.,VPC Peering,VPC Peering connects two VPCs not an on-premises network.,AWS Transit Gateway,Transit Gateway is a network hub and still requires a VPN or Direct Connect connection.,,,,2,An AWS Site-to-Site VPN is a secure and cost-effective solution for connecting an on-premises network to a VPC over the internet.,Design Secure Architectures
How can a company protect data in an S3 bucket from being accidentally deleted or overwritten?,multiple-choice,Enable S3 Versioning,Versioning keeps multiple versions of an object allowing for recovery.,Enable Cross-Region Replication,This is for disaster recovery not for protecting against accidental deletions.,Use S3 Lifecycle policies,Lifecycle policies manage object transitions and expiration not protection from deletion.,Enable MFA Delete,MFA Delete adds a layer of security but does not allow for recovery like versioning does.,,,,1,S3 Versioning is the primary mechanism for protecting against accidental deletion as it allows you to restore previous versions of an object.,Design Resilient Architectures
An application requires a POSIX-compliant file system that can be shared across multiple EC2 instances. Which AWS service should be used?,multiple-choice,Amazon S3,S3 is an object store not a POSIX-compliant file system.,Amazon EFS,EFS provides a fully managed scalable POSIX-compliant file system.,Amazon EBS,EBS provides block storage for a single EC2 instance.,AWS Storage Gateway,Storage Gateway is a hybrid storage service not a shared file system for EC2 instances.,,,,2,Amazon EFS is a managed file storage service that provides a POSIX-compliant file system that can be mounted on multiple EC2 instances.,Design High-Performing Architectures
An application needs to securely store and automatically rotate database passwords. Which service is best suited for this task?,multiple-choice,AWS Key Management Service (KMS),KMS manages encryption keys but does not handle secret rotation.,AWS Secrets Manager,Secrets Manager stores secrets and can automatically rotate credentials for services like RDS.,AWS Systems Manager Parameter Store,Parameter Store can store secrets but does not have built-in automatic rotation for database passwords.,AWS Certificate Manager (ACM),ACM is for managing SSL/TLS certificates.,,,,2,AWS Secrets Manager is designed for storing and rotating secrets with native integration for rotating database credentials on Amazon RDS.,Design Secure Architectures
What is the most cost-effective and scalable way to host a static website on AWS?,multiple-choice,Amazon EC2 with an Elastic IP,This is more expensive and less scalable than a serverless approach.,Amazon S3 with Amazon CloudFront,Hosting on S3 is low-cost and CloudFront provides scalable and low-latency content delivery.,AWS Elastic Beanstalk,Beanstalk is for dynamic applications and is not the most cost-effective for static sites.,Amazon Lightsail,Lightsail is a simplified VPS but S3 with CloudFront is generally more scalable and cost-effective.,,,,2,Hosting a static website on Amazon S3 and distributing it with Amazon CloudFront is a highly scalable available and cost-effective solution.,Design Cost-Optimized Architectures
A legacy application requires access to a file share in the cloud using the SMB protocol. Which AWS service should be used?,multiple-choice,Amazon EFS,EFS provides NFS file shares not SMB.,Amazon S3,S3 is an object store not a file share.,Amazon FSx for Windows File Server,FSx for Windows File Server provides a fully managed native Windows file system with SMB support.,AWS Storage Gateway in File Gateway mode,File Gateway provides a file interface to S3 but FSx is a more native solution.,,,,3,Amazon FSx for Windows File Server is the best choice for applications requiring a managed SMB file share in the cloud.,Design High-Performing Architectures
How can a company prevent developers from launching specific large EC2 instance types across its entire AWS organization?,multiple-choice,Use an IAM policy,IAM policies must be applied to each user or role which is hard to manage.,Use an AWS Organizations Service Control Policy (SCP),SCPs can set permission guardrails for all accounts in an organization.,Use AWS Config to terminate non-compliant instances,This is a reactive approach not a preventive one.,Use AWS Trusted Advisor,Trusted Advisor provides recommendations but does not enforce policies.,,,,2,A Service Control Policy (SCP) in AWS Organizations is the most effective way to enforce restrictions such as disallowing certain instance types across an entire organization.,Design Secure Architectures
A company needs to process real-time streaming data from thousands of IoT devices in order. Which AWS service is most appropriate?,multiple-choice,Amazon SQS,SQS is a message queue not a real-time streaming service.,Amazon Kinesis Data Streams,Kinesis is designed for real-time processing of streaming data at scale with ordered records.,Amazon SNS,SNS is a pub/sub messaging service and does not guarantee order.,AWS Glue,Glue is an ETL service for batch processing not real-time streams.,,,,2,Amazon Kinesis Data Streams is built for ingesting and processing large-scale real-time data streams with guaranteed ordering of records within a shard.,Design High-Performing Architectures
A company wants to encrypt objects in an S3 bucket and manage its own encryption keys. Which S3 encryption option should be used?,multiple-choice,Server-Side Encryption with S3-Managed Keys (SSE-S3),With SSE-S3 AWS manages the encryption keys.,Server-Side Encryption with KMS-Managed Keys (SSE-KMS),With SSE-KMS you can manage the keys in KMS but AWS still controls the key material.,Server-Side Encryption with Customer-Provided Keys (SSE-C),With SSE-C you provide your own encryption key with each request.,Client-Side Encryption,With client-side encryption you encrypt the data before uploading it to S3.,,,,3,Server-Side Encryption with Customer-Provided Keys (SSE-C) allows you to manage your own encryption keys while having S3 perform the encryption and decryption.,Design Secure Architectures
