Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
How can a company improve the read performance of its Amazon RDS for MySQL database?,multiple-choice,Enable Multi-AZ,Multi-AZ provides high availability not read scaling.,Create a read replica,Read replicas offload read traffic from the primary database instance.,Increase the instance size,This can improve performance but is not the most cost-effective solution for read-heavy workloads.,Use Amazon ElastiCache,Caching can improve performance but a read replica is a more direct solution for offloading read queries.,,,,2,Creating one or more read replicas for an RDS database is the standard method for scaling read-intensive workloads.,Design High-Performing Architectures
A company has a stateless application that can tolerate interruptions. Which EC2 purchasing option is the most cost-effective?,multiple-choice,On-Demand Instances,On-Demand instances are flexible but are not the cheapest option.,Reserved Instances,Reserved Instances offer a discount but Spot Instances are more cost-effective for interruptible workloads.,Spot Instances,Spot Instances offer the deepest discounts (up to 90%) for fault-tolerant and flexible applications.,Dedicated Hosts,Dedicated Hosts are the most expensive option.,,,,3,Spot Instances provide the greatest cost savings for workloads that are fault-tolerant and can withstand interruptions.,Design Cost-Optimized Architectures
How can a company ensure its production RDS database is highly available and can withstand an Availability Zone failure?,multiple-choice,Create a read replica in a different AZ,Read replicas are for scaling not for automatic failover.,Enable Multi-AZ for the RDS instance,Multi-AZ creates a synchronous standby replica in a different AZ for automatic failover.,Take regular snapshots,Snapshots are for backups not for high availability.,Increase the instance size,This does not protect against an AZ failure.,,,,2,Enabling Multi-AZ on an RDS instance provides high availability by automatically failing over to a standby replica in a different Availability Zone.,Design Resilient Architectures
A company wants to automate the patching of operating systems on its EC2 instances. Which AWS service should be used?,multiple-choice,AWS Config,Config is for auditing and compliance not for patching.,AWS Systems Manager,Systems Manager Patch Manager automates the process of patching managed instances.,Amazon Inspector,Inspector is a vulnerability assessment service not a patching tool.,AWS Trusted Advisor,Trusted Advisor provides recommendations not automation.,,,,2,AWS Systems Manager Patch Manager allows you to automate the process of patching your EC2 instances and provides a centralized view of patch compliance.,Design Secure Architectures
Which Route 53 routing policy should be used to serve content to users from the AWS region that provides the lowest latency?,multiple-choice,Simple routing policy,This routes traffic to a single resource.,Latency routing policy,This routes traffic to the region with the lowest latency for the user.,Geolocation routing policy,This routes traffic based on the user's geographic location.,Weighted routing policy,This splits traffic between multiple resources based on a defined weight.,,,,2,Latency-based routing in Route 53 improves application performance by routing end-user traffic to the AWS region that provides the lowest network latency.,Design High-Performing Architectures
A company wants to be notified when the CPU utilization of an EC2 instance exceeds 80%. Which service should be used to create this notification?,multiple-choice,AWS CloudTrail,CloudTrail logs API calls it does not monitor performance metrics.,Amazon CloudWatch,CloudWatch monitors performance metrics and can trigger alarms based on thresholds.,AWS Config,Config tracks resource configuration changes not performance metrics.,AWS X-Ray,X-Ray is for application tracing and debugging not for infrastructure monitoring.,,,,2,Amazon CloudWatch allows you to create alarms that monitor metrics like CPU utilization and send notifications when a threshold is breached.,Design High-Performing Architectures
What is the most efficient way to automatically generate thumbnails of images as they are uploaded to an S3 bucket?,multiple-choice,Use an EC2 instance to poll the S3 bucket,Polling is inefficient and not real-time.,Use an S3 event notification to trigger an AWS Lambda function,This is a serverless event-driven and highly efficient approach.,Use an AWS Glue ETL job,Glue is for batch ETL processing not for real-time image processing.,Use Amazon Rekognition,Rekognition is for image analysis not for generating thumbnails.,,,,2,Using S3 event notifications to trigger a Lambda function is the most efficient and scalable pattern for real-time serverless image processing.,Design Resilient Architectures
A stateful application requires a dedicated physical server for compliance reasons. Which EC2 purchasing option should be chosen?,multiple-choice,On-Demand Instances,On-Demand instances run on shared hardware.,Reserved Instances,Reserved Instances also run on shared hardware.,Spot Instances,Spot Instances are not suitable for stateful applications due to their interruptible nature.,Dedicated Hosts,A Dedicated Host is a physical server dedicated to a single customer.,,,,4,An EC2 Dedicated Host provides a physical server for your exclusive use which can help you meet compliance requirements.,Design Secure Architectures
A company needs to store database backups for 5 years. The backups are rarely accessed and a retrieval time of up to 12 hours is acceptable. Which S3 storage class is most appropriate?,multiple-choice,S3 Standard,This is too expensive for long-term archival.,S3 Standard-Infrequent Access,This is for infrequently accessed data that needs rapid access.,S3 One Zone-Infrequent Access,This is for non-critical data that can be lost.,S3 Glacier Deep Archive,This is the lowest-cost storage class for long-term archival with a 12-hour retrieval time.,,,,4,S3 Glacier Deep Archive is designed for long-term data archival offering the lowest storage cost on AWS.,Design Cost-Optimized Architectures
How can a company establish a secure and reliable connection between its on-premises data center and its AWS VPC to create a hybrid cloud?,multiple-choice,Use VPC Peering,VPC Peering connects two VPCs not an on-premises network.,Use a NAT Gateway,A NAT Gateway allows instances in a private subnet to access the internet.,Use AWS Site-to-Site VPN or AWS Direct Connect,A VPN provides a secure connection over the internet while Direct Connect provides a dedicated private connection.,Use an Internet Gateway,An Internet Gateway provides internet access to a VPC.,,,,3,A hybrid cloud architecture can be established using either an AWS Site-to-Site VPN for a cost-effective connection or AWS Direct Connect for a high-bandwidth low-latency connection.,Design High-Performing Architectures
Which AWS service allows you to run ad-hoc SQL queries directly on data stored in Amazon S3?,multiple-choice,Amazon RDS,RDS is a relational database service.,Amazon Redshift,Redshift is a data warehouse and requires data to be loaded.,Amazon Athena,Athena is a serverless query service for running SQL queries on S3 data.,Amazon DynamoDB,DynamoDB is a NoSQL database.,,,,3,Amazon Athena is a serverless interactive query service that makes it easy to analyze data in Amazon S3 using standard SQL.,Design High-Performing Architectures
A company needs to distribute web traffic to multiple EC2 instances for high availability and scalability. Which AWS service should be used?,multiple-choice,Amazon Route 53,Route 53 is a DNS service not a load balancer.,Elastic Load Balancing (ELB),ELB distributes incoming traffic across multiple targets such as EC2 instances.,Amazon CloudFront,CloudFront is a CDN for caching content not for load balancing.,AWS Global Accelerator,Global Accelerator improves performance for global applications but ELB is the primary load balancer.,,,,2,Elastic Load Balancing (ELB) is the AWS service designed to distribute traffic across multiple EC2 instances providing high availability and scalability.,Design High-Performing Architectures
A company wants to provide a single point of contact for its global application with low latency and high availability. Which service is best suited for this?,multiple-choice,Elastic Load Balancing (ELB),ELB is a regional service.,Amazon CloudFront,CloudFront is a CDN for content not a single entry point for an application.,AWS Global Accelerator,Global Accelerator provides static IP addresses that act as a fixed entry point to your application.,Amazon Route 53,Route 53 is a DNS service.,,,,3,AWS Global Accelerator provides static IP addresses that you can use as a single entry point for your global application routing traffic to the optimal endpoint.,Design High-Performing Architectures
Which AWS service can be used to orchestrate a CI/CD workflow for building testing and deploying an application?,multiple-choice,AWS CloudFormation,CloudFormation is for infrastructure as code.,AWS CodePipeline,CodePipeline is a fully managed continuous delivery service for automating release pipelines.,AWS CodeDeploy,CodeDeploy is a deployment service not an orchestrator.,AWS CodeCommit,CodeCommit is a source control service.,,,,2,AWS CodePipeline is a CI/CD service that automates the build test and deploy phases of your release process.,Design Resilient Architectures
A company wants to run a containerized application using Kubernetes on AWS. Which service should they use?,multiple-choice,Amazon ECS,ECS is a proprietary container orchestrator not Kubernetes.,Amazon EKS,EKS is a fully managed Kubernetes service.,AWS Fargate,Fargate is a serverless compute engine for containers that works with both ECS and EKS.,AWS Elastic Beanstalk,Beanstalk can run Docker containers but is not a full Kubernetes service.,,,,2,Amazon EKS (Elastic Kubernetes Service) is the AWS service for running Kubernetes applications and clusters in the cloud.,Design High-Performing Architectures
How can a company automate the patching of its EC2 instances and maintain a centralized view of patch compliance?,multiple-choice,AWS Config,Config is for compliance auditing not for patching.,AWS Systems Manager Patch Manager,Patch Manager automates the process of patching managed instances.,Amazon Inspector,Inspector is a vulnerability assessment service.,AWS Trusted Advisor,Trusted Advisor provides recommendations not automation.,,,,2,AWS Systems Manager Patch Manager is the appropriate service for automating the patching of EC2 instances and viewing patch compliance.,Design Secure Architectures
A company wants to encrypt data in S3 and control the key's rotation and permissions. Which S3 encryption option should they choose?,multiple-choice,Server-Side Encryption with S3-Managed Keys (SSE-S3),With SSE-S3 AWS manages the keys and rotation.,Server-Side Encryption with AWS KMS-Managed Keys (SSE-KMS),SSE-KMS allows you to manage key permissions and rotation in KMS.,Server-Side Encryption with Customer-Provided Keys (SSE-C),With SSE-C you manage the keys yourself.,Client-Side Encryption,With client-side encryption you encrypt the data before uploading.,,,,2,SSE-KMS provides a balance of control and ease of use allowing you to manage key policies and rotation while AWS handles the encryption.,Design Secure Architectures
How can a company ensure that a minimum of two EC2 instances are always running for its application?,multiple-choice,Use a launch template,Launch templates define instance configurations not a minimum instance count.,Use an Auto Scaling group with a desired capacity of 2,An Auto Scaling group can maintain a specified number of instances.,Use a CloudWatch alarm,A CloudWatch alarm can monitor but not launch instances.,Use a load balancer,A load balancer distributes traffic but does not ensure a minimum instance count.,,,,2,An Auto Scaling group with a desired capacity set to 2 will automatically launch new instances to maintain a minimum of two running instances.,Design Resilient Architectures
A company needs to transfer petabytes of data from its on-premises data center to AWS with a slow internet connection. Which AWS service is most suitable?,multiple-choice,AWS DataSync,DataSync is an online data transfer service.,AWS Snowball,Snowball is a petabyte-scale data transport solution using physical appliances.,AWS Direct Connect,Direct Connect is a dedicated network connection and can be expensive.,AWS S3 Transfer Acceleration,S3 Transfer Acceleration is for accelerating uploads over long distances.,,,,2,AWS Snowball is the best choice for transferring large amounts of data to AWS when network connectivity is slow expensive or unreliable.,Design Cost-Optimized Architectures
A company has a batch processing job that can be interrupted and wants to use the most cost-effective EC2 purchasing option. Which option should they choose?,multiple-choice,On-Demand Instances,On-Demand instances are not the most cost-effective.,Reserved Instances,Reserved Instances are for long-running workloads.,Spot Instances,Spot Instances are the most cost-effective for interruptible workloads.,Dedicated Instances,Dedicated Instances are more expensive.,,,,3,Spot Instances offer the deepest discounts on EC2 instances and are ideal for fault-tolerant interruptible workloads like batch processing.,Design Cost-Optimized Architectures
A company wants to deploy a highly available web application in a single AWS Region able to withstand an Availability Zone failure. Which architecture should be used?,multiple-choice,Deploy in a single AZ,This is not highly available.,Deploy across multiple AZs in the same region,This is the standard for high availability in a single region.,Deploy across multiple AWS Regions,This is a multi-region DR strategy.,Deploy on-premises and use AWS for backups,This is a hybrid architecture.,,,,2,A multi-AZ architecture with a load balancer is the standard design for high availability within a single AWS Region.,Design Resilient Architectures
A company wants to grant its developers access to the AWS Management Console without creating individual IAM users. The developers are authenticated via the company's on-premises identity provider. Which AWS service enables this?,multiple-choice,Amazon Cognito,Cognito is for application user identity not for AWS console access.,AWS Single Sign-On (SSO),AWS SSO centrally manages SSO access to multiple AWS accounts.,AWS Identity and Access Management (IAM),IAM is for managing AWS access but SSO is better for federated access.,AWS Directory Service,Directory Service is for managing directories in the cloud.,,,,2,AWS Single Sign-On (SSO) enables you to connect to your on-premises identity provider to grant your users SSO access to the AWS Management Console.,Design Secure Architectures
A company wants to visualize its AWS costs and usage over time and identify cost-saving opportunities. Which AWS service should be used?,multiple-choice,AWS Budgets,Budgets are for setting cost and usage alerts.,AWS Cost Explorer,Cost Explorer provides an interface to visualize understand and manage your AWS costs.,AWS Trusted Advisor,Trusted Advisor provides cost optimization recommendations.,Amazon CloudWatch,CloudWatch is for monitoring performance and operational health.,,,,2,AWS Cost Explorer is the primary tool for visualizing and analyzing your AWS cost and usage data over time.,Design Cost-Optimized Architectures
A company needs to store application configuration data such as database connection strings and API keys in a secure and hierarchical manner. Which AWS service is most suitable?,multiple-choice,AWS Secrets Manager,Secrets Manager is for secrets but Parameter Store is also a good choice for configuration data.,AWS Systems Manager Parameter Store,Parameter Store provides secure hierarchical storage for configuration data and secrets.,AWS Key Management Service (KMS),KMS is for managing encryption keys.,Amazon S3,S3 is for storing objects not for hierarchical configuration data.,,,,2,AWS Systems Manager Parameter Store is designed for storing configuration data and secrets in a hierarchical structure.,Design Secure Architectures
A company is building a new application composed of several independent microservices and wants to use a serverless compute service. Which AWS service should be used?,multiple-choice,Amazon EC2,EC2 is not a serverless service.,Amazon ECS,ECS is a container orchestration service.,AWS Lambda,Lambda is a serverless compute service for running code in response to events.,AWS Elastic Beanstalk,Beanstalk is a PaaS not a serverless compute service.,,,,3,AWS Lambda is a serverless compute service that is ideal for running event-driven microservices without managing servers.,Design High-Performing Architectures
How can a company provide a secure and private connection between its VPC and other AWS services like S3 and DynamoDB without using the public internet?,multiple-choice,Use a NAT Gateway,A NAT Gateway routes traffic over the public internet.,Use a VPC endpoint,A VPC endpoint provides a private connection to AWS services.,Use an Internet Gateway,An Internet Gateway provides access to the public internet.,Use a VPN connection,A VPN is for connecting on-premises networks to a VPC.,,,,2,A VPC endpoint enables you to privately connect your VPC to supported AWS services without requiring an internet gateway NAT device VPN or Direct Connect connection.,Design Secure Architectures
A company wants to deploy a web application to be used by a small number of users. They need a simple and cost-effective solution. Which AWS service is the best fit?,multiple-choice,Amazon EC2,EC2 can be complex to manage for a simple application.,Amazon Lightsail,Lightsail provides a simplified way to launch and manage a virtual private server at a low predictable price.,AWS Elastic Beanstalk,Beanstalk is for more complex applications and is not the most cost-effective for small workloads.,AWS Fargate,Fargate is for containerized applications.,,,,2,Amazon Lightsail is designed for simple workloads providing an easy-to-use interface and a low predictable monthly price.,Design Cost-Optimized Architectures
A company needs to migrate 50TB of data to S3 with limited bandwidth and time is critical. Which service is most suitable?,multiple-choice,AWS Snowball Edge,This is a physical device for large-scale data transfer.,AWS Direct Connect,This is a dedicated network connection which can be costly and time-consuming to set up.,S3 Transfer Acceleration,This service accelerates uploads over the internet.,AWS DataSync,This is an online data transfer service.,AWS Snowmobile,Snowmobile is for exabyte-scale data transfer.,,,1,AWS Snowball Edge is a physical appliance that allows you to transfer large amounts of data to AWS offline which is faster than using the internet for a 50TB transfer with limited bandwidth.,Design Cost-Optimized Architectures
How can a company monitor its AWS environment for unencrypted S3 buckets to ensure compliance?,multiple-choice,AWS Config,Config provides managed rules to detect and report non-compliant resources.,Amazon CloudWatch,CloudWatch is for performance monitoring.,AWS CloudTrail,CloudTrail is for API auditing.,Amazon Inspector,Inspector is for vulnerability scanning.,,,,1,AWS Config can use managed rules such as s3-bucket-ssl-requests-only to continuously monitor your AWS resources for compliance.,Design Secure Architectures
What is the most secure and efficient way to provide shell access to EC2 instances in private subnets without using a bastion host?,multiple-choice,Use a single bastion host in a public subnet,This creates a single point of failure.,Use an Auto Scaling group of bastion hosts,This is more complex and costly than a serverless approach.,Use a Network Load Balancer with a bastion host fleet,This is for high-throughput TCP traffic not for shell access.,Use AWS Systems Manager Session Manager,Session Manager provides secure auditable shell access through the AWS console without open inbound ports.,,,,4,AWS Systems Manager Session Manager is the most secure and efficient method for accessing private instances as it does not require a bastion host or open inbound ports.,Design Secure Architectures
A company is decoupling a monolithic application and needs to ensure that messages between microservices are processed in the exact order they are sent. Which service should be used?,multiple-choice,SQS Standard Queue,Standard queues provide best-effort ordering not strict order.,SQS FIFO Queue,FIFO queues guarantee first-in first-out delivery and exactly-once processing.,SNS Topic,SNS is a pub/sub service and does not guarantee order.,Kinesis Data Firehose,Firehose is a data delivery service not a message queue.,,,,2,Amazon SQS FIFO queues are designed for applications that require messages to be processed in a strict order.,Design High-Performing Architectures
How can you prevent specific IAM users from accessing a production S3 bucket?,multiple-choice,Use an IAM user policy with a Deny statement,This can be overridden by other policies.,Use an S3 bucket policy with a Deny statement,A bucket policy can explicitly deny access to specific principals.,Use S3 Access Control Lists (ACLs),ACLs are a legacy access control mechanism and are not recommended for new use cases.,Use a Service Control Policy (SCP),SCPs are for organization-wide guardrails not for specific resource access.,,,,2,An S3 bucket policy with an explicit Deny statement for a specific IAM user is a direct and effective way to block access to a bucket.,Design Secure Architectures
What is the most cost-effective storage option for data that is accessed once per year but needs to be retrieved immediately?,multiple-choice,S3 Standard-Infrequent Access,This is more expensive than One Zone-IA.,S3 Glacier Flexible Retrieval,This has a retrieval time of minutes to hours.,S3 Glacier Deep Archive,This has a retrieval time of 12-48 hours.,S3 One Zone-Infrequent Access,This is the cheapest option for infrequently accessed data that needs immediate retrieval.,,,,4,S3 One Zone-IA is 20% cheaper than S3 Standard-IA and is suitable for data that is infrequently accessed but requires millisecond retrieval.,Design Cost-Optimized Architectures
